sample_id,fold,fusion_model,spearman,jaccard_top5pct,jaccard_top50,entropy_image_only,entropy_fusion,n_tiles
207,1,intermediate_fusion,0.6904633497367818,0.5294117647058824,0.3157894736842105,5.423729,5.414737,256
209,1,intermediate_fusion,0.5530820840009155,0.5294117647058824,0.28205128205128205,5.1695967,5.374213,256
233,1,intermediate_fusion,0.44186312657358656,0.18181818181818182,0.3157894736842105,5.4291,5.441064,256
249,1,intermediate_fusion,0.5722362096589608,0.4444444444444444,0.3698630136986301,5.444305,5.4916477,256
211,1,intermediate_fusion,0.2848949988555733,0.7333333333333333,0.3333333333333333,5.1287136,5.3220863,256
213,1,intermediate_fusion,0.49948929961089483,0.625,0.3888888888888889,5.4450226,5.454835,256
256,1,intermediate_fusion,0.7152344644083313,0.5294117647058824,0.5625,5.2117853,5.2088785,256
277,1,intermediate_fusion,0.5657558937972076,0.18181818181818182,0.2345679012345679,5.4391747,5.509404,256
284,1,intermediate_fusion,0.9241094930189974,0.7333333333333333,0.6949152542372882,4.999276,5.021678,256
229,1,intermediate_fusion,0.30038552872510865,0.4444444444444444,0.3888888888888889,5.372363,5.462208,256
257,1,intermediate_fusion,0.7372818436713205,0.3684210526315789,0.5151515151515151,5.240622,5.3186007,256
527,1,intermediate_fusion,0.736875572213321,0.8571428571428571,0.6949152542372882,4.5952606,4.626701,256
267,1,intermediate_fusion,0.6788767452506294,0.4444444444444444,0.8518518518518519,4.928625,4.9516773,256
275,1,intermediate_fusion,0.5560096704051269,0.625,0.6666666666666666,5.216934,5.195279,256
281,1,intermediate_fusion,0.46800969901579303,0.7333333333333333,0.4925373134328358,4.7487926,4.817746,256
243,1,intermediate_fusion,0.7119499599450674,0.8571428571428571,0.4084507042253521,5.1720867,5.334003,256
251,1,intermediate_fusion,0.6262867647058822,0.5294117647058824,0.639344262295082,5.16985,5.152173,256
259,1,intermediate_fusion,0.4711447127489127,0.625,0.4925373134328358,5.216195,5.358499,256
545,1,intermediate_fusion,0.6860608834973677,0.8571428571428571,0.47058823529411764,5.1940784,5.3151646,256
565,1,intermediate_fusion,0.2619728484779125,0.04,0.21951219512195122,5.4728394,5.432726,256
299,1,intermediate_fusion,-0.05402623598077363,0.23809523809523808,0.14942528735632185,5.347554,5.4526014,256
307,1,intermediate_fusion,0.8233556019684136,0.7333333333333333,0.7857142857142857,4.8753176,4.680392,256
323,1,intermediate_fusion,0.8010306992446783,0.4444444444444444,0.7241379310344828,5.225146,5.174047,256
306,1,intermediate_fusion,0.7919589723048751,0.625,0.5873015873015873,5.3164663,5.2968044,256
312,1,intermediate_fusion,0.8609049553673608,0.5294117647058824,0.5873015873015873,5.1390114,5.13315,256
327,1,intermediate_fusion,0.8405220016021971,0.5294117647058824,0.7543859649122807,5.123445,5.2084494,256
329,1,intermediate_fusion,0.5145463778896773,0.7333333333333333,0.2987012987012987,5.2680254,5.4282346,256
333,1,intermediate_fusion,0.7991774433508811,0.5294117647058824,0.639344262295082,5.167285,5.2089343,256
347,1,intermediate_fusion,0.7349400606546119,0.7333333333333333,0.6949152542372882,5.0162506,5.1539845,256
361,1,intermediate_fusion,0.8737411306935224,0.7333333333333333,0.7241379310344828,5.1652846,5.016933,256
352,1,intermediate_fusion,0.5422629606317234,0.5294117647058824,0.5873015873015873,5.2739973,5.146081,256
318,1,intermediate_fusion,0.5310504406042572,0.4444444444444444,0.4492753623188406,5.399921,5.4328117,256
344,1,intermediate_fusion,0.7331547550926985,0.625,0.35135135135135137,4.7801456,4.949817,256
388,1,intermediate_fusion,0.7536571583886472,0.625,0.6949152542372882,5.3612094,5.289317,256
422,1,intermediate_fusion,0.6893339436942092,0.5294117647058824,0.5151515151515151,5.4181256,5.442322,256
429,1,intermediate_fusion,0.8430561913481344,0.625,0.7857142857142857,5.3093824,5.200175,256
392,1,intermediate_fusion,0.8053988326848248,0.625,0.6129032258064516,5.3690615,5.171501,256
396,1,intermediate_fusion,0.8033052471961545,0.3684210526315789,0.5151515151515151,5.136098,4.755741,256
423,1,intermediate_fusion,0.925456340123598,0.625,0.6949152542372882,4.9284606,4.7257576,256
425,1,intermediate_fusion,0.638238870450904,0.23809523809523808,0.3157894736842105,5.420597,5.406225,256
439,1,intermediate_fusion,0.8860508697642481,0.5294117647058824,0.6666666666666666,5.1282363,4.914844,256
412,1,intermediate_fusion,0.45172522316319513,0.23809523809523808,0.3888888888888889,5.4417505,5.4851923,256
390,1,intermediate_fusion,0.5651421950102997,0.3684210526315789,0.3888888888888889,5.3386526,5.4682183,256
435,1,intermediate_fusion,0.7149090180819409,0.23809523809523808,0.35135135135135137,5.513594,5.515739,256
407,1,intermediate_fusion,0.6864213778896772,0.7333333333333333,0.47058823529411764,5.0339828,5.25816,256
420,1,intermediate_fusion,0.6794117647058822,0.5294117647058824,0.4084507042253521,5.2755785,5.3473916,256
395,1,intermediate_fusion,0.9085166800183107,0.625,0.7543859649122807,5.153372,4.938398,256
404,1,intermediate_fusion,0.7295154783703364,0.625,0.6949152542372882,5.169021,5.1281643,256
418,1,intermediate_fusion,0.4496080338750285,0.5294117647058824,0.3888888888888889,5.283983,5.3504906,256
405,1,intermediate_fusion,0.7983899347676813,0.5294117647058824,0.5151515151515151,5.278562,5.197261,256
424,1,intermediate_fusion,0.055904526207370096,0.23809523809523808,0.14942528735632185,5.3729715,5.4654665,256
443,1,intermediate_fusion,0.7933308537422751,0.625,0.6129032258064516,5.3264284,5.2222853,256
464,1,intermediate_fusion,0.7814874685282673,0.4444444444444444,0.5384615384615384,5.4792624,5.4855757,256
479,1,intermediate_fusion,0.7350037193865872,0.8571428571428571,0.639344262295082,5.3655157,5.416548,256
505,1,intermediate_fusion,0.7263869020370793,0.5294117647058824,0.6129032258064516,5.3293657,5.3763103,256
478,1,intermediate_fusion,0.8110973620965894,0.5294117647058824,0.5384615384615384,5.285817,5.0359993,256
486,1,intermediate_fusion,0.7837648775463492,0.5294117647058824,0.7857142857142857,5.2583036,5.231303,256
444,1,intermediate_fusion,0.6080989642938887,0.625,0.5151515151515151,5.3528256,5.342492,256
463,1,intermediate_fusion,0.7068880178530554,0.7333333333333333,0.6129032258064516,5.29276,5.305154,256
473,1,intermediate_fusion,0.8134663252460517,0.625,0.5151515151515151,5.4163065,5.300583,256
453,1,intermediate_fusion,0.9046857118333713,0.625,0.8181818181818182,5.0523586,5.004332,256
459,1,intermediate_fusion,0.8632546063172349,0.625,0.7543859649122807,5.181365,5.182092,256
461,1,intermediate_fusion,0.5450803959716182,0.4444444444444444,0.4925373134328358,5.351267,5.4174833,256
470,1,intermediate_fusion,0.5772924296177614,1.0,0.639344262295082,4.668916,4.533857,256
481,1,intermediate_fusion,0.7013954852368962,0.4444444444444444,0.5625,5.116086,4.8487854,256
496,1,intermediate_fusion,0.8488212405584801,0.625,0.6949152542372882,5.265557,5.127691,256
500,1,intermediate_fusion,0.8033381494621192,0.7333333333333333,0.8181818181818182,5.1644487,5.097125,256
513,1,intermediate_fusion,0.8616438258182648,0.8571428571428571,0.7857142857142857,4.890068,4.536908,256
475,1,intermediate_fusion,0.8522824158846417,0.3,0.8181818181818182,5.144429,5.1299915,256
514,1,intermediate_fusion,0.8776007095445182,0.7333333333333333,0.7857142857142857,5.063552,4.855259,256
541,1,intermediate_fusion,0.2149304760814831,0.4444444444444444,0.35135135135135137,5.3794923,5.4833136,256
593,1,intermediate_fusion,0.3895392252231631,0.3684210526315789,0.3698630136986301,5.4621325,5.497979,256
544,1,intermediate_fusion,0.4333671892881666,0.3684210526315789,0.35135135135135137,5.4190063,5.448847,256
577,1,intermediate_fusion,0.41984364271000224,0.4444444444444444,0.4925373134328358,5.3681993,5.4290433,256
557,1,intermediate_fusion,-0.3044675555046921,0.04,0.06382978723404255,5.4444246,5.491506,256
696,1,intermediate_fusion,0.4457641908903639,0.18181818181818182,0.3333333333333333,5.479359,5.480913,256
697,1,intermediate_fusion,0.7317335202563515,0.4444444444444444,0.3698630136986301,5.4563,5.3779445,256
698,1,intermediate_fusion,0.5044081883726252,0.4444444444444444,0.26582278481012656,5.4262276,5.3860664,256
699,1,intermediate_fusion,-0.11867132066834514,0.04,0.14942528735632185,5.4150233,5.4842763,256
700,1,intermediate_fusion,0.43796635385671767,0.3,0.26582278481012656,5.514483,5.4861865,256
701,1,intermediate_fusion,0.5768947413595787,0.3,0.35135135135135137,5.5090857,5.4905386,256
702,1,intermediate_fusion,0.5258225566491187,0.0,0.16279069767441862,5.505696,5.504428,256
703,1,intermediate_fusion,0.884405041199359,0.625,0.6666666666666666,5.4410486,5.1231704,256
706,1,intermediate_fusion,0.5130621995880064,0.3,0.47058823529411764,5.4092484,5.424814,256
